target_id	length	eff_length	est_counts	tpm
ApoEc1_136trans	333	2170.55	35	2.23933
ApoEc1_719trans	315	1851.38	0	0
ApoEc1_750trans	462	3505.57	2	0.0792305
ApoEc1_1163trans	324	204.193	0	0
ApoEc1_1164trans	444	323.891	3.21806	1.3798
ApoEc1_1769trans	315	1828.64	0	0
ApoEc1_1805trans	375	2213.21	27.5498	1.72869
ApoEc1_2088trans	489	368.863	0	0
ApoEc1_2214trans	300	1618.49	0	0
ApoEc1_2672trans	1044	3051.01	2.20452	0.100344
ApoEc1_3432trans	534	4279.45	1.29129	0.0419041
ApoEc1_4567trans	399	3441.29	0	0
ApoEc1_4674trans	345	2684.3	64	3.31108
ApoEc1_4919trans	399	278.938	21.9033	10.9049
ApoEc1_6235trans	339	630.555	1.38761	0.305609
ApoEc1_6236trans	468	2999.65	10.876	0.503522
ApoEc1_7080trans	318	1521.84	209	19.0721
ApoEc1_7183trans	357	707.864	18.2384	3.57815
ApoEc1_7368trans	396	275.938	0	0
ApoEc1_7391trans	306	1888.43	2.2153	0.162911
ApoEc1_7393trans	495	3678.44	0	0
ApoEc1_7394trans	495	3402.94	0	0
ApoEc1_7491trans	522	4300.05	0	0
ApoEc1_8106trans	522	4128.99	0	0
ApoEc1_8303trans	309	843.154	0	0
ApoEc1_8304trans	315	195.241	1.61226	1.14679
ApoEc1_8306trans	399	1162.83	0	0
ApoEc1_9284trans	300	1916.98	11	0.796886
ApoEc1_9293trans	405	2728.5	6.72676	0.342375
ApoEc1_9488trans	306	1846.46	3.03098	0.227962
ApoEc1_9490trans	585	5680.83	9.69554	0.237018
ApoEc1_9620trans	441	2562.95	0	0
ApoEc1_10498trans	441	2885.45	293	14.1018
ApoEc1_11074trans	468	3694.8	51.5103	1.93608
ApoEc1_11144trans	1032	7209.44	2936.3	56.5614
ApoEc1_11145trans	585	3486.08	32.0856	1.27819
ApoEc1_11232trans	348	2507.67	141	7.80854
ApoEc1_11534trans	1137	10986.4	39.7852	0.502905
ApoEc1_12163trans	333	665.153	9.61739	2.00797
ApoEc1_12328trans	618	4207.38	0	0
ApoEc1_12460trans	357	236.979	0	0
ApoEc1_12893trans	525	2787.24	83.5742	4.16408
ApoEc1_12985trans	315	195.241	4.6772	3.32687
ApoEc1_13281trans	444	323.891	0	0
ApoEc1_13282trans	345	225.035	0	0
ApoEc1_13768trans	408	828.738	71.7704	12.0268
ApoEc1_13869trans	384	2488.84	0	0
ApoEc1_13870trans	636	4484.41	3.28077	0.1016
ApoEc1_13871trans	1071	8776.08	0	0
ApoEc1_13873trans	804	683.863	0	0
ApoEc1_13874trans	492	371.863	0	0
ApoEc1_14061trans	855	734.863	0	0
ApoEc1_14062trans	408	2895.6	699.611	33.5535
ApoEc1_15335trans	462	4640.32	423.407	12.6716
ApoEc1_15850trans	396	2552.8	118.256	6.4332
ApoEc1_15852trans	306	1811.58	0	0
ApoEc1_17401trans	900	8183.81	1278	21.6868
ApoEc1_17775trans	429	308.891	0	0
ApoEc1_17959trans	858	7012.72	0	0
ApoEc1_19027trans	543	5194.54	0	0
ApoEc1_19028trans	408	3687.78	9.88057	0.372082
ApoEc1_19029trans	1290	4103.79	155.488	5.26176
ApoEc1_19093trans	651	4956.06	1.1612	0.0325379
ApoEc1_19094trans	438	3076.87	10.0864	0.45525
ApoEc1_19096trans	612	491.863	0	0
ApoEc1_19099trans	588	3959.73	26.7336	0.937591
ApoEc1_19100trans	390	2593.84	0	0
ApoEc1_19228trans	321	201.209	5.54017	3.82381
ApoEc1_19229trans	720	6538.77	24.833	0.527416
ApoEc1_19231trans	303	1750.59	3.26947	0.259367
ApoEc1_19336trans	1020	9221.74	0	0
ApoEc1_19337trans	369	248.959	1.38402	0.772033
ApoEc1_19338trans	354	2250.58	79.1905	4.88652
ApoEc1_19411trans	450	1034.34	20.026	2.68875
ApoEc1_19432trans	297	1428.45	6.61181	0.642799
ApoEc1_19433trans	336	1857.59	89.5671	6.69608
ApoEc1_19638trans	402	2243.91	92	5.69381
ApoEc1_19748trans	399	3291.02	121.851	5.14185
ApoEc1_20479trans	534	413.863	0	0
ApoEc1_20482trans	348	1719.73	2.257	0.182261
ApoEc1_21169trans	357	2825.43	22.9965	1.13031
ApoEc1_21921trans	336	216.107	0	0
ApoEc1_21923trans	429	2649.04	24.042	1.26038
ApoEc1_21932trans	399	278.938	1.20372	0.599291
ApoEc1_21933trans	435	3109.44	1.0485	0.0468282
ApoEc1_21940trans	450	3053.7	0	0
ApoEc1_21941trans	537	416.863	0	0
ApoEc1_21942trans	303	1468.31	2.05103	0.193988
ApoEc1_22156trans	450	3270.4	4.84255	0.205633
ApoEc1_22157trans	333	1880.66	0	0
ApoEc1_22277trans	315	651.248	10.9623	2.33763
ApoEc1_22279trans	408	2676.45	2.48518	0.128949
ApoEc1_22333trans	300	180.438	0	0
ApoEc1_22456trans	519	3791.39	0.778957	0.0285322
ApoEc1_22948trans	1068	9590.94	7.00443	0.101422
ApoEc1_22951trans	1347	4026.18	1897.9	65.4638
ApoEc1_22957trans	612	491.863	0	0
ApoEc1_23142trans	375	1972.27	827	58.2319
ApoEc1_23501trans	309	1485.94	0	0
ApoEc1_24213trans	735	5555.38	5.38715	0.134669
ApoEc1_24215trans	546	4525.16	1.90204	0.0583723
ApoEc1_24223trans	333	617.463	27.5086	6.18697
ApoEc1_24224trans	354	686.786	0	0
ApoEc1_25755trans	309	189.304	0	0
ApoEc1_25952trans	366	2580.63	0.950937	0.0511737
ApoEc1_25955trans	351	2672.55	0	0
ApoEc1_26262trans	903	782.863	0	0
ApoEc1_26356trans	369	2482.51	0	0
ApoEc1_26358trans	315	553.262	80.9792	20.3265
ApoEc1_26866trans	1575	15001.3	33.1146	0.306558
ApoEc1_27275trans	411	890.289	6.46613	1.00864
ApoEc1_27315trans	357	236.979	0	0
ApoEc1_27495trans	342	1751.97	4.44938	0.352691
ApoEc1_27909trans	300	180.438	0	0
ApoEc1_28148trans	540	3756.59	18.5807	0.686893
ApoEc1_28303trans	450	959.887	45.982	6.65255
ApoEc1_28759trans	342	222.071	0	0
ApoEc1_28784trans	387	3105.73	4	0.178862
ApoEc1_29449trans	312	594.197	2253.13	526.594
ApoEc1_29717trans	315	195.241	0	0
ApoEc1_29768trans	357	2285.6	32	1.94433
ApoEc1_30112trans	336	1749.65	9.00945	0.715101
ApoEc1_30245trans	327	2029.33	17	1.16337
ApoEc1_30571trans	315	195.241	0	0
ApoEc1_30661trans	330	210.159	0	0
ApoEc1_30710trans	405	284.915	0	0
ApoEc1_31002trans	342	2296.05	0	0
ApoEc1_31053trans	366	245.959	0	0
ApoEc1_31055trans	348	227.998	0	0
ApoEc1_31081trans	705	5528.33	4	0.100482
ApoEc1_31087trans	354	233.979	0	0
ApoEc1_31385trans	456	988.307	0.603586	0.0848141
ApoEc1_31946trans	297	1851.12	103	7.72722
ApoEc1_33097trans	300	180.438	0	0
ApoEc1_33163trans	555	3974.75	1.24797	0.043603
ApoEc1_33459trans	501	3595.78	1	0.0386213
ApoEc2_483trans	432	311.891	0	0
ApoEc2_551trans	906	9623.8	58.3477	0.841973
ApoEc2_1991trans	372	2536.43	64.346	3.52306
ApoEc2_2087trans	402	746.071	29.8914	5.564
ApoEc2_2764trans	531	1215.87	43.6506	4.98568
ApoEc2_3194trans	741	7000.36	0	0
ApoEc2_3574trans	444	3323.1	8.53382	0.356632
ApoEc2_3575trans	300	1311.89	1.03146	0.109187
ApoEc2_3674trans	720	4969.52	2.06723	0.0577692
ApoEc2_3675trans	480	1016.57	22.7862	3.11284
ApoEc2_3679trans	300	1465.22	1.77906	0.168621
ApoEc2_4073trans	732	6184.61	0	0
ApoEc2_4074trans	1704	17559.6	0	0
ApoEc2_4402trans	444	3158.21	2.42533	0.106648
ApoEc2_4433trans	384	2677.47	0	0
ApoEc2_4434trans	384	891.93	19.7227	3.07084
ApoEc2_4636trans	339	2281.41	12.2992	0.748675
ApoEc2_5884trans	354	1886.27	97.5329	7.18072
ApoEc2_6411trans	1581	13420.5	29.6233	0.306538
ApoEc2_7351trans	1224	11635.3	195.209	2.32992
ApoEc2_7353trans	894	8188.5	53.4513	0.906515
ApoEc2_7368trans	372	2312.23	20.6371	1.23948
ApoEc2_7370trans	420	2630.02	0.965786	0.0509969
ApoEc2_7465trans	471	1270.2	2.11769	0.231532
ApoEc2_7466trans	366	2551.82	0.0886743	0.0048258
ApoEc2_8118trans	1227	3886.15	167.793	5.9962
ApoEc2_8202trans	849	7530.61	12.8553	0.237069
