target_id	length	eff_length	est_counts	tpm
ApoEc1_136trans	333	1930.21	22	1.65751
ApoEc1_719trans	315	207.296	7.68907	5.39412
ApoEc1_750trans	462	3027.19	6	0.288237
ApoEc1_1163trans	324	216.28	0	0
ApoEc1_1164trans	444	336.239	0	0
ApoEc1_1769trans	315	207.296	0	0
ApoEc1_1805trans	375	1531.25	6.83029	0.648682
ApoEc1_2088trans	489	3170.8	0	0
ApoEc1_2214trans	300	1187.33	0	0
ApoEc1_2672trans	1044	2448.23	3	0.1782
ApoEc1_3432trans	534	3116.73	2.28386	0.106564
ApoEc1_4567trans	399	1169.26	23.1545	2.87981
ApoEc1_4674trans	345	2412.33	45	2.71278
ApoEc1_4919trans	399	1953.31	0	0
ApoEc1_6235trans	339	231.28	0	0
ApoEc1_6236trans	468	2383.29	2.41957	0.147639
ApoEc1_7080trans	318	1095.27	86	11.4187
ApoEc1_7183trans	357	249.261	5.5475	3.23654
ApoEc1_7368trans	396	288.239	0	0
ApoEc1_7391trans	306	1452.49	6.05507	0.606238
ApoEc1_7393trans	495	3036.58	0	0
ApoEc1_7394trans	495	2499.79	0	0
ApoEc1_7491trans	522	3491.71	0	0
ApoEc1_8106trans	522	414.239	6.15127	2.15949
ApoEc1_8303trans	309	817.554	0.000358396	6.37507e-05
ApoEc1_8304trans	315	2588.99	1.27286	0.0714969
ApoEc1_8306trans	399	1093.68	0	0
ApoEc1_9284trans	300	1660.73	9.22711	0.807989
ApoEc1_9293trans	405	2281.99	20.5098	1.30703
ApoEc1_9488trans	306	1525.39	3.08924	0.294516
ApoEc1_9490trans	585	4872.03	3.31929	0.0990771
ApoEc1_9620trans	441	694.098	0	0
ApoEc1_10498trans	441	1911.67	110.91	8.43718
ApoEc1_11074trans	468	2680.78	0.73583	0.0399167
ApoEc1_11144trans	1032	5136.38	6884.71	194.925
ApoEc1_11145trans	585	2668.44	38.6594	2.10686
ApoEc1_11232trans	348	2387.53	69	4.2028
ApoEc1_11534trans	1137	8600.86	25.1155	0.424657
ApoEc1_12163trans	333	1601.84	0	0
ApoEc1_12328trans	618	3266.87	0	0
ApoEc1_12460trans	357	249.261	0	0
ApoEc1_12893trans	525	1978.19	5.74395	0.422262
ApoEc1_12985trans	315	207.296	0	0
ApoEc1_13281trans	444	336.239	0	0
ApoEc1_13282trans	345	237.28	0	0
ApoEc1_13768trans	408	1607.8	0	0
ApoEc1_13869trans	384	1696.39	1.76541	0.151341
ApoEc1_13870trans	636	2849.6	4.24281	0.216525
ApoEc1_13871trans	1071	5774.8	0	0
ApoEc1_13873trans	804	696.239	7.51964e-07	1.57064e-07
ApoEc1_13874trans	492	384.239	0	0
ApoEc1_14061trans	855	747.239	0	0
ApoEc1_14062trans	408	2414.49	321.575	19.3684
ApoEc1_15335trans	462	4575.44	458.304	14.5666
ApoEc1_15850trans	396	2227.66	79.6188	5.19763
ApoEc1_15852trans	306	558.149	28.4809	7.42064
ApoEc1_17401trans	900	6529.7	555	12.3606
ApoEc1_17775trans	429	321.239	0	0
ApoEc1_17959trans	858	5304.06	0	0
ApoEc1_19027trans	543	1494.64	10.6207	1.03337
ApoEc1_19028trans	408	3337.57	0	0
ApoEc1_19029trans	1290	1182.24	0	0
ApoEc1_19093trans	651	543.239	0	0
ApoEc1_19094trans	438	2119.32	9.85235	0.676053
ApoEc1_19096trans	612	504.239	0	0
ApoEc1_19099trans	588	3011.9	27.1873	1.3127
ApoEc1_19100trans	390	2085.1	0	0
ApoEc1_19228trans	321	2222.09	1.19539	0.078232
ApoEc1_19229trans	720	5609.97	18.6381	0.483148
ApoEc1_19231trans	303	1463.14	2.31828	0.230419
ApoEc1_19336trans	1020	7450.83	0	0
ApoEc1_19337trans	369	261.261	0	0
ApoEc1_19338trans	354	1643.97	182.776	16.1683
ApoEc1_19411trans	450	965.431	20.7594	3.12702
ApoEc1_19432trans	297	1002.3	8.49025	1.23186
ApoEc1_19433trans	336	1336.72	52.2296	5.68216
ApoEc1_19638trans	402	1675.88	34	2.95035
ApoEc1_19748trans	399	3046.07	53.6764	2.56261
ApoEc1_20479trans	534	2739.61	4.74684	0.251973
ApoEc1_20482trans	348	1274.96	4.22993	0.482474
ApoEc1_21169trans	357	2696.95	4.04279	0.217995
ApoEc1_21921trans	336	228.28	0	0
ApoEc1_21923trans	429	1907.92	20.8331	1.58793
ApoEc1_21932trans	399	291.239	0	0
ApoEc1_21933trans	435	2362.68	0	0
ApoEc1_21940trans	450	807.61	10	1.80068
ApoEc1_21941trans	537	429.239	0	0
ApoEc1_21942trans	303	1035.76	1.10144	0.154648
ApoEc1_22156trans	450	2625.53	15.1841	0.841029
ApoEc1_22157trans	333	1294.65	2.29317	0.257585
ApoEc1_22277trans	315	1597.8	8.13636	0.740535
ApoEc1_22279trans	408	300.239	0	0
ApoEc1_22333trans	300	192.328	0	0
ApoEc1_22456trans	519	1009.44	7.75756	1.11759
ApoEc1_22948trans	1068	7641.37	21.8711	0.416234
ApoEc1_22951trans	1347	3363.88	4476.52	193.526
ApoEc1_22957trans	612	504.239	0	0
ApoEc1_23142trans	375	1471.62	984	97.2382
ApoEc1_23501trans	309	390.01	6.56183	2.44674
ApoEc1_24213trans	735	4222.99	0	0
ApoEc1_24215trans	546	3522.62	0	0
ApoEc1_24223trans	333	1353.21	0	0
ApoEc1_24224trans	354	246.261	0	0
