target_id	length	eff_length	est_counts	tpm
ApoEc1_136trans	333	4126.51	15	0.585933
ApoEc1_719trans	315	187.463	2.8487	2.44947
ApoEc1_750trans	462	6347.7	8	0.203148
ApoEc1_1163trans	324	196.397	0	0
ApoEc1_1164trans	444	316.041	0	0
ApoEc1_1769trans	315	807.976	0	0
ApoEc1_1805trans	375	3810.18	2.15697	0.0912514
ApoEc1_2088trans	489	360.981	0	0
ApoEc1_2214trans	300	172.571	2.00615	1.87385
ApoEc1_2672trans	1044	16429.2	1.46781	0.014401
ApoEc1_3432trans	534	405.981	0	0
ApoEc1_4567trans	399	1546.14	0	0
ApoEc1_4674trans	345	5040.32	50	1.59901
ApoEc1_4919trans	399	271.066	9.18962	5.46464
ApoEc1_6235trans	339	2845.01	0	0
ApoEc1_6236trans	468	5351.49	0	0
ApoEc1_7080trans	318	2609.57	76	4.69444
ApoEc1_7183trans	357	1020.93	0	0
ApoEc1_7368trans	396	4275	2	0.0754107
ApoEc1_7391trans	306	3239.2	1.08853	0.0541679
ApoEc1_7393trans	495	6497.76	0	0
ApoEc1_7394trans	495	5901.33	0	0
ApoEc1_7491trans	522	1934.33	0	0
ApoEc1_8106trans	522	393.981	8.04171	3.29012
ApoEc1_8303trans	309	181.51	4.5627	4.05191
ApoEc1_8304trans	315	4761.92	1.01874	0.0344843
ApoEc1_8306trans	399	6542.11	0	0
ApoEc1_9284trans	300	3230.95	14	0.698453
ApoEc1_9293trans	405	4895.6	9.82011	0.323333
ApoEc1_9488trans	306	3278.41	0	0
ApoEc1_9490trans	585	456.981	1.64728	0.581045
ApoEc1_9620trans	441	4478.53	0	0
ApoEc1_10498trans	441	5063.58	115	3.66083
ApoEc1_11074trans	468	6771.93	12.1871	0.290086
ApoEc1_11144trans	1032	12918.1	1185.69	14.7949
ApoEc1_11145trans	585	6194.53	13.7295	0.357261
ApoEc1_11232trans	348	4596.36	74	2.59512
ApoEc1_11534trans	1137	21417.8	47.9046	0.360531
ApoEc1_12163trans	333	907.437	9.58018	1.70176
ApoEc1_12328trans	618	7456.26	0	0
ApoEc1_12460trans	357	229.236	0	0
ApoEc1_12893trans	525	5193.82	13.8821	0.430831
ApoEc1_12985trans	315	3028.79	0	0
ApoEc1_13281trans	444	1317.38	0	0
ApoEc1_13282trans	345	217.274	0	0
ApoEc1_13768trans	408	1123.84	47.7235	6.84492
ApoEc1_13869trans	384	4284.41	0	0
