target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq
ApoEpi3_30178trans,0.367657135,0.431218199,-0.842690995,0.935418487,2.240636107,1.702907026,0.237743092,1.512272401,1.029552088,1.512272401
ApoEpi4_22674trans,0.368164001,0.431503092,-1.116692605,1.240882905,2.340683355,2.99592705,0.793915723,2.285665044,1.033939769,2.285665044
SymEpi4_10134trans,0.368187832,0.431503092,-0.72911124,0.810237919,5.743670896,1.277290317,0.007549712,1.305421257,0.139751561,1.305421257
SymGas1_41640trans,0.368060333,0.431503092,-0.540139479,0.600079902,3.327898796,0.467806979,0.046365067,0.402159523,0.673826711,0.673826711
SymGas4_69841trans,0.368620304,0.431897402,-0.316534564,0.352072499,5.315633952,0.241121256,0.005683207,0.242226882,0.176571892,0.242226882
SymGas4_42726trans,0.369574459,0.432902583,-0.742732728,0.827768793,2.080325393,0.461333887,0.363056128,-0.008717228,1.007346222,1.007346222
SymGas4_88728trans,0.370756232,0.434173791,0.53270449,0.595162162,4.548521164,0.688309163,0.015473662,0.692962337,0.282302153,0.692962337
SymGas2_15711trans,0.371496164,0.434927055,-0.91489365,1.023743908,0.980825397,2.035811409,0.830353591,1.265749589,0.436629156,1.265749589
ApoEpi4_48394trans,0.372380861,0.435849366,-0.752300857,0.843365317,2.417861333,0.696751992,0.390640028,0.233585103,1.031890087,1.031890087
ApoGas2_44819trans,0.373587921,0.437148404,-0.692410531,0.778188059,2.796370162,0.65739475,0.275607971,0.331541789,0.93554534,0.93554534
SymEpi4_29978trans,0.373890004,0.437388099,0.184784938,0.207807887,6.879099017,0.052499813,0.001003866,0.048864092,0.08536437,0.08536437
SymEpi1_57996trans,0.374207276,0.437645431,1.13081722,1.272554153,0.900979851,3.141460579,0.091761332,3.147026814,0.384813455,3.147026814
SymEpi1_11454trans,0.375047219,0.438513749,-0.688227719,0.775853509,2.475611587,0.286888337,0.177144426,-0.000327163,1.026752908,1.026752908
SymGas1_12968trans,0.375252712,0.438639995,0.701575612,0.791241283,2.206566571,0.575281641,0.225792335,0.281300133,1.0263332,1.0263332
SymEpi2_78016trans,0.375968947,0.439363035,1.133471932,1.280255763,1.345520915,3.176882154,0.336619339,2.9414903,0.681366211,2.9414903
ApoEpi1_6236trans,0.377450374,0.440865173,0.716725496,0.81205802,1.962995419,0.616746208,0.337433768,0.210871663,0.981442689,0.981442689
