target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq
SymGas1_21759trans,0.959270707,0.970450452,0.019081482,0.373642741,4.344918242,0.239433569,0.014294776,0.26492302,0.158774925,0.26492302
SymGas4_6534trans,0.959262661,0.970450452,-0.026073008,0.510445915,4.464323879,0.446859999,0.015408568,0.505701497,0.154605342,0.505701497
ApoEpi4_30427trans,0.961289341,0.970995731,-0.028018597,0.577278519,2.695143963,0.571510849,0.130053373,0.536447604,0.206653776,0.536447604
ApoGas2_18633trans,0.961487497,0.970995731,0.067470836,1.397287168,2.078810107,3.348291683,0.76300145,3.14182141,0.17231453,3.14182141
ApoGas2_33745trans,0.9617551,0.970995731,0.014672706,0.305992186,4.185256399,0.097120503,0.022598671,0.09063682,0.164663765,0.164663765
ApoGas3_55517trans,0.960872262,0.970995731,-0.026118019,0.532379565,3.962552996,0.486071474,0.027355085,0.539500918,0.173510897,0.539500918
SymEpi3_8688trans,0.960205648,0.970995731,0.031885621,0.639047781,1.94405613,0.237311394,0.647286974,-0.370762578,0.169477158,0.169477158
SymEpi3_52109trans,0.96047565,0.970995731,0.052619459,1.061803059,3.051393858,1.933520922,0.252159962,2.002691511,0.206359239,2.002691511
SymGas3_17915trans,0.960703366,0.970995731,0.030686078,0.622802578,2.046856407,0.665211412,0.561917563,0.213848538,0.1709919,0.213848538
SymGas3_35132trans,0.961642715,0.970995731,-0.060474563,1.257469783,1.90245516,2.711725342,0.562914987,2.599545521,0.170539397,2.599545521
ApoEpi3_11585trans,0.962267563,0.971169293,0.024338281,0.514461797,2.681396044,0.088345233,0.322919746,-0.220047759,0.206422136,0.206422136
SymGas1_1334trans,0.962413447,0.971169293,-0.021597177,0.458293631,2.162479833,0.069909412,0.24312238,-0.161716879,0.176943726,0.176943726
SymGas1_48872trans,0.963447037,0.971966654,0.020093792,0.438457363,2.734762685,0.329677976,0.126615209,0.25787451,0.207211771,0.25787451
ApoGas3_54241trans,0.965417059,0.973708087,-0.015857945,0.365753931,3.074726878,0.189226617,0.061585932,0.15909463,0.205965944,0.205965944
SymEpi1_59141trans,0.966512097,0.974566365,0.031434021,0.748728717,1.437061653,0.961301785,0.302171563,0.819017821,0.198422124,0.819017821
ApoGas4_42242trans,0.967264027,0.975078329,-0.020389461,0.496819531,2.483296428,0.221541821,0.293789448,-0.035462566,0.199869846,0.199869846
SymEpi2_85436trans,0.968025633,0.975599786,-0.043906367,1.095340932,0.832238627,2.057302373,0.301588944,2.097954569,0.127284791,2.097954569
SymGas3_40185trans,0.973988202,0.981361315,-0.0307593,0.943342036,2.152461834,1.525803234,0.227659054,1.552129341,0.176313865,1.552129341
ApoGas1_23967trans,0.974511496,0.981640869,0.008232389,0.257660406,5.412615615,0.020878048,0.005021142,0.019313989,0.127756628,0.127756628
SymEpi4_30301trans,0.975046755,0.981932331,-0.013008791,0.415890648,2.700280926,0.296559833,0.107581555,0.238348507,0.206735266,0.238348507
SymGas2_94282trans,0.975644876,0.982286936,0.017441415,0.571299669,4.913145897,0.559601165,0.009253646,0.643512979,0.140592748,0.643512979
ApoEpi2_14042trans,0.976120436,0.982517998,0.051401864,1.717226877,3.408645425,5.055957438,1.033039658,4.864696636,0.196653924,4.864696636
ApoEpi3_29170trans,0.977715432,0.983875434,-0.039702212,1.421327219,2.192055304,3.463600754,1.619850361,2.420491763,0.17890003,2.420491763
SymEpi2_29557trans,0.978155358,0.98407013,-0.017470659,0.638043305,1.496753571,0.246490486,0.616772659,-0.329302166,0.197425859,0.197425859
ApoGas3_16349trans,0.979324052,0.984997718,-0.008671167,0.33458278,3.572508389,0.154123798,0.033620072,0.146165962,0.190271201,0.190271201
