target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq
SymGas3_96907trans,0.605100416,0.894868294,0.33391819,0.64577683,3.348813555,0.746762183,0.220053036,0.614002392,0.286409062,0.614002392
SymGas4_64077trans,0.607170149,0.894868294,0.123401889,0.24002683,6.723810198,0.049485978,0.00350464,0.049152993,0.111721118,0.111721118
SymEpi3_37314trans,0.610784932,0.899155523,0.401863525,0.789588152,2.033556998,0.431734816,0.368565383,0.081293806,0.878333517,0.878333517
SymGas4_53238trans,0.611565144,0.899566747,0.21893248,0.431104731,3.747633394,0.332296905,0.033856566,0.337846012,0.222531789,0.337846012
ApoEpi3_45560trans,0.613174908,0.90119651,-0.289466815,0.572581754,2.908035687,0.249930811,0.258154913,0.005500688,0.397544817,0.397544817
ApoEpi3_9013trans,0.613913039,0.901543596,-0.528389745,1.047362107,1.750884825,1.960285719,0.376940976,1.816993789,1.047335197,1.816993789
ApoGas3_8946trans,0.614636168,0.901868103,0.502742232,0.998560987,2.413715721,1.781569718,0.400243231,1.594004857,0.625963752,1.594004857
ApoEpi1_2672trans,0.61833148,0.903127204,0.773064665,1.551664233,1.651457903,4.298171522,1.430463294,3.384860489,1.094915074,3.384860489
ApoEpi3_48922trans,0.618819312,0.903127204,0.611194257,1.22847096,2.284940833,2.69382966,1.202055586,1.81622621,0.704029174,1.81622621
ApoGas1_26758trans,0.618283548,0.903127204,-0.418742283,0.84036791,2.941017337,1.260758413,0.481795301,0.930641147,0.387378144,0.930641147
ApoGas3_14946trans,0.619635922,0.903127204,-0.269138349,0.542217091,3.264590427,0.52469477,0.073696282,0.514302466,0.304023634,0.514302466
ApoGas4_17331trans,0.6164917,0.903127204,0.155499488,0.310484393,4.56253616,0.172166698,0.017518401,0.175282715,0.168967512,0.175282715
SymEpi1_74954trans,0.620310033,0.903127204,0.610680893,1.232675286,1.209961345,2.711388948,0.399280527,2.639696195,1.18524601,2.639696195
SymEpi2_9692trans,0.620791256,0.903127204,0.312000258,0.630648504,2.931816683,0.709614108,0.181728662,0.61370641,0.390178491,0.61370641
SymGas1_124147trans,0.620399435,0.903127204,0.408665457,0.825112843,1.356457761,1.012123313,0.18130154,0.943839841,1.180320868,1.180320868
SymGas3_53731trans,0.621025667,0.903127204,0.415116535,0.839641701,2.423312846,1.04471116,0.789974355,0.371414753,0.620022017,0.620022017
SymGas3_118205trans,0.617326412,0.903127204,-0.379125635,0.758792913,1.953246314,0.56988066,0.216270388,0.4006783,0.935262981,0.935262981
SymGas4_74173trans,0.618279744,0.903127204,0.131320248,0.263541875,5.512601984,0.077635055,0.004408654,0.080417242,0.134499986,0.134499986
ApoGas1_39871trans,0.623196132,0.904087442,0.284328003,0.578695608,2.628184071,0.134212466,0.166431058,-0.036797319,0.503346154,0.503346154
