target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq
ApoGas2_2382trans,1.64E-06,6.62E-05,-3.422414062,0.714043025,3.126568121,4.220589333,0.132736772,0.886978111,0.227930337,0.886978111
ApoGas2_23875trans,1.73E-06,6.80E-05,-1.075512345,0.224867511,6.287262287,0.382626805,0.001956401,0.058865936,0.099174394,0.099174394
SymEpi4_4133trans,2.02E-06,7.78E-05,-3.730285626,0.785109591,2.627692474,5.032403791,0.136256649,1.096537491,0.328105292,1.096537491
SymEpi4_30608trans,2.12E-06,7.98E-05,-2.508594767,0.529077954,3.019747815,2.277882455,0.242548408,0.317298554,0.243719772,0.317298554
SymEpi4_8374trans,2.32E-06,8.52E-05,-2.634163304,0.557645123,2.679770266,2.262904871,0.30849584,0.01862107,0.313440326,0.313440326
ApoEpi4_51495trans,2.60E-06,9.36E-05,-2.173651701,0.462462219,3.381221134,1.524031717,0.231288097,-0.028171666,0.196454511,0.196454511
ApoEpi3_26006trans,2.88E-06,9.94E-05,-2.308160233,0.493266498,2.926721226,1.939278482,0.198424725,0.288198951,0.259147449,0.288198951
SymEpi1_34029trans,2.87E-06,9.94E-05,-2.485816856,0.531169542,3.161308179,2.249180552,0.187048246,0.377233918,0.223092566,0.377233918
SymEpi4_25425trans,3.53E-06,0.000117085,-1.128743479,0.243396607,5.207290007,0.398751124,0.00678684,0.033735524,0.111696977,0.111696977
SymGas3_62691trans,3.50E-06,0.000117085,1.793581457,0.386643031,4.25112372,1.175397556,0.03136048,0.267625187,0.137627005,0.267625187
SymEpi3_37856trans,4.28E-06,0.000139223,-2.71275411,0.590051545,2.150887328,2.660669743,0.173170824,0.477932256,0.523150828,0.523150828
SymEpi2_19562trans,4.57E-06,0.000146133,-2.023730553,0.441534773,3.741896903,1.457305857,0.222770144,0.11225824,0.167135768,0.167135768
SymGas3_40185trans,5.03E-06,0.000157831,-1.926313158,0.422126203,2.971057992,1.337360534,0.104827483,0.218532346,0.251553579,0.251553579
ApoEpi3_20015trans,5.75E-06,0.000176771,-1.855961872,0.409219174,3.062238899,1.104451482,0.097679198,0.042649375,0.237241467,0.237241467
SymEpi1_4673trans,5.85E-06,0.000176771,-1.793667749,0.39579211,3.099220519,0.999893297,0.081477353,0.012650161,0.231825435,0.231825435
SymEpi4_34578trans,7.17E-06,0.000212914,-1.444767749,0.321873057,5.459395375,0.773990696,0.00529627,0.201908259,0.107523589,0.201908259
SymEpi3_15422trans,7.41E-06,0.000216189,-2.428931202,0.541970984,2.884516471,1.863059795,0.320605396,-0.113604563,0.2668597,0.2668597
ApoEpi4_8659trans,9.63E-06,0.000276455,-1.69350333,0.382693379,3.205886982,0.884944139,0.075883943,0.000566377,0.217024502,0.217024502
SymEpi4_26560trans,1.19E-05,0.000332872,-3.100501859,0.707921453,2.535250813,3.605722421,0.083379419,0.918926147,0.357073424,0.918926147
